DIGITAL REPORT
Report Taken on : 21/Feb/21 19:40:57
From: 21/Feb/21  00:00:00
To: 21/Feb/21  19:37:50 
SlNo     STATION NAME          SIGNAL NAME               SIGNAL STATUS               SIGNAL TIME            
350      STN-E           1Hxl                      DOWN                        02/21/2021 13:32:32:781     
351      STN-E           1DECxl                    DOWN                        02/21/2021 13:32:32:875     
352      STN-E           1T2xl                     DOWN                        02/21/2021 13:32:50:703     
353      STN-E           1Aplm                     UP                          02/21/2021 13:33:22:343     
354      STN-E           1T1xl                     UP                          02/21/2021 13:33:43:000     
355      STN-E           1T2xl                     UP                          02/21/2021 13:33:54:656     
356      STN-E           22 Dxl                    UP                          02/21/2021 13:46:27:234     
357      STN-E           22DECxl                   UP                          02/21/2021 13:46:28:265     
358      STN-E           1T2xl                     DOWN                        02/21/2021 13:51:00:515     
359      STN-E           22 Dxl                    DOWN                        02/21/2021 13:51:00:718     
360      STN-E           22DECxl                   DOWN                        02/21/2021 13:51:00:812     
361      STN-E           1T1xl                     DOWN                        02/21/2021 13:51:08:078     
362      STN-E           1Aplm                     DOWN                        02/21/2021 13:51:21:203     
363      STN-E           1T2xl                     UP                          02/21/2021 13:51:46:937     
364      STN-E           1T1xl                     UP                          02/21/2021 13:51:59:906     
365      STN-E           1Aplm                     UP                          02/21/2021 13:52:04:437     
366      STN-E           22 Dxl                    UP                          02/21/2021 14:24:01:234     
367      STN-E           22DECxl                   UP                          02/21/2021 14:24:02:265     
368      STN-E           1T2xl                     DOWN                        02/21/2021 14:31:58:515     
369      STN-E           22 Dxl                    DOWN                        02/21/2021 14:31:58:718     
370      STN-E           22DECxl                   DOWN                        02/21/2021 14:31:58:812     
371      STN-E           1T1xl                     DOWN                        02/21/2021 14:32:05:828     
372      STN-E           1Aplm                     DOWN                        02/21/2021 14:32:18:484     
373      STN-E           1T2xl                     UP                          02/21/2021 14:32:43:234     
374      STN-E           1T1xl                     UP                          02/21/2021 14:32:55:562     
375      STN-E           1Aplm                     UP                          02/21/2021 14:32:59:953     
376      STN-E           1Hxl                      UP                          02/21/2021 15:48:56:687     
377      STN-E           1HECxl                    UP                          02/21/2021 15:48:57:453     
